code = 1 	uspešno poslata poruka
code = 2 	nesupešno poslata poruka
code = 3 	nepostojeći recept
code = 4 	id recepta nije odgovarujećeg formata
code = 5 	niste izabrali paket
code = 6 	paket nije odogovarajućeg formata
code = 7 	količina nije odogovarajućeg formata
code = 8 	ime nije odgovarajućeg formata
code = 9 	prezime nije odgovarajućeg formata
code = 10	email nije odogovarajućeg formata
code = 11	telefon nije odgovarajućeg formata
code = 12	mesto nije odgovarajućeg formata
code = 13	ulica i broj nisu odgovarajućeg formata
code = 14	poštanski kod nije odgovarajućeg formata
code = 15	poruka sa specijalnim zahtevima nije odgovarajućeg formata
code = 16	uspešno poslata narudžbina
code = 17	korisnik sa tim korisničkim imenom nije pronađen
code = 18	pogrešno ste ukucali lozinku
code = 19	niste prijavljeni
code = 20	pogrešan email dat za reset lozinke
code = 21	nepostojeći token
code = 22	naslov recepta nije odgovarajućeg formata
code = 23	sastojci nisu odogovarajućeg formata
code = 24	način spremanja nije odgovarajućeg formata
code = 25   uspešno poslat recept
code = 26	neuspešno poslata narudžbina
code = 27   nemate dozvolu
code = 28	narudžbina nije pronađena
